Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Image,Hi-Res Image,Width (in Inches),Height (in Inches),Medium / Material,Price (in USD),Availability,Short Description or Notes,"Full Description, Information, or Custom Content",Recognition,Collection,Order,Feature on Homepage?,Featured Video,Featured Video On?
A Shrine,a-shrine,632b56d98acca70c72830aa4,632b56d98acca76ff2830b34,Wed Aug 03 2022 14:32:53 GMT+0000 (Coordinated Universal Time),Tue Aug 16 2022 19:38:02 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea86de8c078169c9bb1f58_Jerome_Tupa_A_Shrine_63x76.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8b58e93adc1ccb5648da_Jerome_Tupa_A_Shrine_63x76.jpg,62,76,,,,,,,,,false,,false
Adonis,adonis,632b56d98acca70c72830aa4,632b56d98acca74abe830b36,Wed Aug 03 2022 14:53:40 GMT+0000 (Coordinated Universal Time),Wed Sep 21 2022 18:07:27 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8be0debf3e467d0bd048_Jerome_Tupa_Adonis_86x82.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8be49bacb84198c19003_Jerome_Tupa_Adonis_86x82.jpg,86,82,Oil on Canvas,,,,"<p id="""">This painting depicts a young man enthroned partially dressed but displaying his manhood. The privileged status of a man is evident in his posturing. This man represents the new twenty-first century “David”.</p>",,adonis,,false,,false
Adonis 2,adonis-2,632b56d98acca70c72830aa4,632b56d98acca7dcab830b35,Wed Aug 03 2022 14:52:40 GMT+0000 (Coordinated Universal Time),Wed Sep 21 2022 18:07:34 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8b9d44e58a41ff002031_Jerome_Tupa_Adonis_2_70x72.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8ba01d124a23ef611419_Jerome_Tupa_Adonis_2_70x72.jpg,70,72,Oil on Canvas,,,,"<p id="""">In a series of paintings using the torsos of men and women the artist shows the beauty of the human body, our touch of the Divine. At the same time I suggest that we are subjected by our society to dismemberment and violence because of sin. Underlining beauty are the terrible struggles man and woman must undergo.</p>",,adonis,,false,,false
"Agora, Athens",agora-athens,632b56d98acca70c72830aa4,632b56d98acca779de830b39,Wed Aug 03 2022 14:54:36 GMT+0000 (Coordinated Universal Time),Tue Oct 11 2022 16:41:06 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8c190d098543f1e17e6b_Jerome_Tupa_Agora_Athens_16x13.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8c1caf55924b7c1206fe_Jerome_Tupa_Agora_Athens_16x13.jpg,16,13,Watercolor,,,,,,pilgrimage-to-the-holy-lands,,false,,false
Al Hambra,al-hambra,632b56d98acca70c72830aa4,632b56d98acca7f4c4830b3a,Wed Aug 03 2022 14:55:10 GMT+0000 (Coordinated Universal Time),Wed Aug 03 2022 14:55:10 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8c3a7af19a5c87cc5a9c_Jerome_Tupa_Al_Hambra_1_19x14.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8c3e7dd201732eb52ce3_Jerome_Tupa_Al_Hambra_1_19x14.jpg,19,14,,,,,,,,,false,,false
Alhambra,alhambra,632b56d98acca70c72830aa4,632b56d98acca7e41a830b3c,Wed Aug 03 2022 14:58:02 GMT+0000 (Coordinated Universal Time),Wed Sep 21 2022 18:50:40 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8ceb83543e9c1eb4c039_Jerome_Tupa_Alhambra_64x59.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8ced7a1891e32fa77ceb_Jerome_Tupa_Alhambra_64x59.jpg,64,59,Oil on Canvas,,,,"<p id="""">“The Alhambra is a palace and fortress complex located in Granada, Andalusia, Spain. It is one of the most famous monuments of Islamic architecture and one of the best-preserved palaces of the historic Islamic world, in addition to containing notable examples of Spanish Renaissance architecture.” <a href=""https://en.wikipedia.org/wiki/Alhambra"" id="""">Wikipedia</a> In this work I used many of the sketches and watercolors that I created while in Granada.</p>",,road-to-rome,,false,,false
Apocalypse 1,apocalypse-1,632b56d98acca70c72830aa4,632b56d98acca78044830b3d,Wed Aug 03 2022 14:58:48 GMT+0000 (Coordinated Universal Time),Tue Sep 20 2022 15:19:59 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8d125bd878df98415d5b_Jerome_Tupa_Apocalypse_1_70x87.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8d147a1891562fa77dff_Jerome_Tupa_Apocalypse_1_70x87.jpg,70,87,Oil on Canvas,,,,"<p id="""">One of two paintings with horsemen of the apocalypse.</p>",,,,false,,false
Apocalypse 2,apocalypse-2,632b56d98acca70c72830aa4,632b56d98acca7239a830b3e,Wed Aug 03 2022 14:59:22 GMT+0000 (Coordinated Universal Time),Tue Sep 20 2022 15:20:10 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8d37edb0827d8ef2fcff_Jerome_Tupa_Apocalypse_2_70x87.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8d3910309c15ac444227_Jerome_Tupa_Apocalypse_2_70x87.jpg,70,87,Oil on Canvas,,,,"<p id="""">One of two paintings with horsemen of the apocalypse. Created because of the dynamic relationship between the horsemen, their steeds and the viewer.</p>",,,,false,,false
Archangel Shrine,archangel-shrine,632b56d98acca70c72830aa4,632b56d98acca7d5b2830b3f,Wed Aug 03 2022 15:00:14 GMT+0000 (Coordinated Universal Time),Wed Aug 03 2022 15:00:14 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8d6410309c01214445d4_Jerome_Tupa_Archangel_Shrine_82x86.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8d67131e4219991945dc_Jerome_Tupa_Archangel_Shrine_82x86.jpg,82,86,,,,,,,,,false,,false
Assisi Basilica of St. Francis,assisi-basilicata,632b56d98acca70c72830aa4,632b56d98acca72fba830b40,Wed Aug 03 2022 15:01:23 GMT+0000 (Coordinated Universal Time),Tue Sep 20 2022 15:20:58 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8d8f4b368523505c2742_Jerome_Tupa_Assissi_Basilicata_Print_27x32.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8d948c0781257abb73bb_Jerome_Tupa_Assissi_Basilicata_Print_27x32.jpg,27,32,Print,,,,"<p id="""">With vivid colors this rendition of the famous Convent/basilica in Assisi was part of the “Road to Rome” series that was exhibited in 4 major venues; Pope John-Paul II Cultural Center, Washington D.C., Catholic Art Museum, New York City, Marshal Fields, Chicago, Il.</p>",,,,false,,false
